,gene1,gene2,combined_score,type,known,degree,betweenness,isSHH
344,GORASP2,USO1,0.732,negative,unknown,8,77.4388845900611,no
345,GORASP2,RAB1A,0.868,negative,unknown,8,77.4388845900611,no
346,GORASP2,GOLGA2,0.994,negative,unknown,8,77.4388845900611,no
347,GRIA1,BET1,0.499,negative,unknown,8,1905.73732887913,no
348,GRIA1,USO1,0.499,negative,unknown,8,1905.73732887913,no
349,GRIA1,SEC23A,0.499,negative,unknown,8,1905.73732887913,no
350,GRIA1,HOMER1,0.873,negative,unknown,8,1905.73732887913,no
351,GRIA1,GABRA5,0.552,negative,unknown,8,1905.73732887913,no
352,GRIA1,SCFD1,0.499,negative,unknown,8,1905.73732887913,no
353,GRIA1,NLGN1,0.633,negative,unknown,8,1905.73732887913,no
354,GRIA1,GOLGA2,0.534,negative,unknown,8,1905.73732887913,no
355,GXYLT1,EGF,0.523,negative,unknown,1,0,no
356,HERPUD1,XBP1,0.823,negative,unknown,3,62.5408577644045,no
357,HERPUD1,ID2,0.432,negative,unknown,3,62.5408577644045,no
358,HERPUD1,OPTN,0.43,negative,unknown,3,62.5408577644045,no
359,HIBADH,BCAT1,0.574,negative,unknown,1,188.772154099558,no
360,HJURP,ECT2,0.588,negative,unknown,2,0,no
361,HJURP,PTTG1,0.708,negative,unknown,2,0,no
362,HOMER1,PLK2,0.504,negative,unknown,3,394.214594059358,no
363,HOMER1,NLGN1,0.726,negative,unknown,3,394.214594059358,no
364,HOMER1,GRIA1,0.873,negative,unknown,3,394.214594059358,no
365,HS3ST3B1,HS6ST2,0.509,negative,unknown,1,367,no
366,HS6ST2,HS3ST3B1,0.509,negative,unknown,1,0,no
367,HSPB1,VCL,0.447,negative,unknown,6,751.304754086768,no
368,HSPB1,SOX2,0.453,negative,unknown,6,751.304754086768,no
369,HSPB1,GDF15,0.507,negative,unknown,6,751.304754086768,no
370,HSPB1,ANXA5,0.51,negative,unknown,6,751.304754086768,no
371,HSPB1,UBC,0.573,negative,unknown,6,751.304754086768,no
372,HSPB1,PRDX6,0.581,negative,unknown,6,751.304754086768,no
373,ID1,ID2,0.516,negative,unknown,4,79.0906133833709,no
374,ID1,JAG1,0.554,negative,unknown,4,79.0906133833709,no
375,ID1,SOX2,0.405,negative,unknown,4,79.0906133833709,no
376,ID1,FOXO3,0.989,negative,unknown,4,79.0906133833709,no
377,ID2,SOX2,0.418,negative,unknown,3,44.9049712283977,no
378,ID2,HERPUD1,0.432,negative,unknown,3,44.9049712283977,no
379,ID2,ID1,0.516,negative,unknown,3,44.9049712283977,no
380,IDI1,INSIG1,0.86,negative,unknown,3,0,no
381,IDI1,DHCR7,0.864,negative,unknown,3,0,no
382,IDI1,FDFT1,0.94,negative,unknown,3,0,no
383,IER2,PHLDA1,0.503,negative,unknown,2,732,no
384,IER2,BTG2,0.636,negative,unknown,2,732,no
385,IMMP1L,PAX6,0.625,negative,unknown,1,0,no
386,INSIG1,PERP,0.401,negative,unknown,5,609.208146556903,no
387,INSIG1,IRS2,0.624,negative,unknown,5,609.208146556903,no
388,INSIG1,DHCR7,0.709,negative,unknown,5,609.208146556903,no
389,INSIG1,FDFT1,0.774,negative,unknown,5,609.208146556903,no
390,INSIG1,IDI1,0.86,negative,unknown,5,609.208146556903,no
391,IRS2,FOXO3,0.681,negative,unknown,3,360.115879014673,no
392,IRS2,INSIG1,0.624,negative,unknown,3,360.115879014673,no
393,IRS2,IRS4,0.983,negative,unknown,3,360.115879014673,no
394,IRS4,IRS2,0.983,negative,unknown,1,0,no
395,JAG1,GLI3,0.423,negative,unknown,9,388.303579512387,no
396,JAG1,UBC,0.457,negative,unknown,9,388.303579512387,no
397,JAG1,GLI2,0.48,negative,unknown,9,388.303579512387,no
398,JAG1,FGF2,0.536,negative,unknown,9,388.303579512387,no
