"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"1284","ENSG00000230453","ANKRD18B","blue","blue",0.00118489031366962,-0.00118489031366962
"15","ENSG00000007944","MYLIP","blue","blue",0.00117679927553049,-0.00117679927553049
"1382","ENSG00000268089","GABRQ","blue","blue",0.00117591975633076,0.00117591975633076
"1365","ENSG00000260807","CEROX1","blue","blue",0.0011725116550208,0.0011725116550208
"181","ENSG00000101182","PSMA7","blue","blue",0.00116336248587619,0.00116336248587619
"598","ENSG00000140105","WARS1","blue","blue",0.00114763869431409,-0.00114763869431409
"440","ENSG00000127084","FGD3","blue","blue",0.00112653380357741,0.00112653380357741
"200","ENSG00000103005","USB1","blue","blue",0.00112557739253805,0.00112557739253805
"879","ENSG00000165795","NDRG2","blue","blue",0.00112491847841398,0.00112491847841398
"180","ENSG00000100991","TRPC4AP","blue","blue",0.0011164354399586,-0.0011164354399586
"414","ENSG00000124493","GRM4","blue","blue",0.00111072790924883,0.00111072790924883
"1204","ENSG00000203865","ATP1A1-AS1","blue","blue",0.00110227732212998,0.00110227732212998
"853","ENSG00000164294","GPX8","blue","blue",0.00109321640174066,-0.00109321640174066
"528","ENSG00000135454","B4GALNT1","blue","blue",0.00108716961639988,0.00108716961639988
"1047","ENSG00000180747","SMG1P3","blue","blue",0.00107616353225056,-0.00107616353225056
"628","ENSG00000142538","PTH2","blue","blue",0.00107541903315217,-0.00107541903315217
"1322","ENSG00000242852","ZNF709","blue","blue",0.00105429582314919,0.00105429582314919
"494","ENSG00000132196","HSD17B7","blue","blue",0.00104664156904846,-0.00104664156904846
"975","ENSG00000173041","ZNF680","blue","blue",0.0010425038796968,-0.0010425038796968
"331","ENSG00000115970","THADA","blue","blue",0.0010364341063877,0.0010364341063877
"263","ENSG00000109670","FBXW7","blue","blue",0.00103215247687902,-0.00103215247687902
"692","ENSG00000149289","ZC3H12C","blue","blue",0.00102971463305766,0.00102971463305766
"1332","ENSG00000248329","APELA","blue","blue",0.00102517812216057,0.00102517812216057
"330","ENSG00000115884","SDC1","blue","blue",0.00101412747539274,-0.00101412747539274
"1090","ENSG00000184515","BEX5","blue","blue",0.000988481727918559,-0.000988481727918559
"442","ENSG00000127418","FGFRL1","blue","blue",0.000978274871152211,0.000978274871152211
"851","ENSG00000164120","HPGD","blue","blue",0.000953838994481211,0.000953838994481211
"898","ENSG00000167107","ACSF2","blue","blue",0.00094097206134505,0.00094097206134505
"253","ENSG00000108828","VAT1","blue","blue",0.000926062817147045,-0.000926062817147045
"26","ENSG00000013810","TACC3","blue","blue",0.000919618203860543,-0.000919618203860543
"318","ENSG00000114374","USP9Y","blue","blue",0.000918857849673249,-0.000918857849673249
"410","ENSG00000124191","TOX2","blue","blue",0.000918149291449128,0.000918149291449128
