"","HvsN_padj","HvsN_log2FoldChange","HvsL_padj","HvsL_log2FoldChange","LvsN_padj","LvsN_log2FoldChange","cyclo_padj","cyclo_log2FoldChange","HvsN_thr","HvsL_thr","LvsN_thr","cyclo_thr","WGCNA","cluster","sub_cluster","genes"
"ENSG00000198888",0.00386241944755682,0.19839077818359,0.93899195808675,-0.0154843121512327,0.00164048648295124,0.213875090334822,0.271855539193414,0.137063087735879,FALSE,FALSE,FALSE,FALSE,"no","no","no","ND1"
"ENSG00000198890",0.0216373817263575,-0.417435844158933,0.95584090156165,0.0331816015840558,0.0108335181182393,-0.450617445742989,0.133561317582437,-0.402635467744164,FALSE,FALSE,FALSE,FALSE,"no","no","no","PRMT6"
"ENSG00000198892",0.283249171661399,-0.44504739201562,0.42210684019816,-0.431296911803859,0.980780899797919,-0.0137504802117608,0.139143087589816,-0.689297891404362,FALSE,FALSE,FALSE,FALSE,"no","no","no","SHISA4"
"ENSG00000198894",1.85314236747507e-06,-0.505749632782385,0.129188795416842,-0.219176510521267,0.0139948764931183,-0.286573122261118,1.0555947047917e-06,-0.59045662397929,FALSE,FALSE,FALSE,FALSE,"yes","1","3","CIPC"
"ENSG00000198898",0.123759152396627,0.15454084063272,0.902798778082217,0.0300921929560194,0.247253265660785,0.124448647676701,0.739933187639449,0.0622370312386804,FALSE,FALSE,FALSE,FALSE,"no","no","no","CAPZA2"
"ENSG00000198899",0.486739197501603,0.0813094460632027,0.0375465345768929,0.183736236083765,0.356780474848692,-0.102426790020562,0.508943850652699,0.112894158590582,FALSE,FALSE,FALSE,FALSE,"no","no","no","ATP6"
"ENSG00000198900",0.456920743560378,0.0635163501576111,0.957272390116656,-0.0107357940936256,0.364738822721173,0.0742521442512367,0.355639685228401,0.0874806467210955,FALSE,FALSE,FALSE,FALSE,"no","no","no","TOP1"
"ENSG00000198901",0.884933959421395,0.0475322142731126,0.134508139289657,0.327683837654954,0.192346686634454,-0.280151623381841,0.537033699312059,0.200823097273252,FALSE,FALSE,FALSE,FALSE,"no","no","no","PRC1"
"ENSG00000198909",0.508536300527562,0.158682852345649,0.847464588410522,0.0846606697049295,0.798539215801109,0.0740221826407193,0.535288184098838,0.180517407272552,FALSE,FALSE,FALSE,FALSE,"no","no","no","MAP3K3"
"ENSG00000198910",0.251757798160012,0.417817419262602,0.503808953408935,0.329256152714487,0.869510109836758,0.0885612665481143,0.086387860241331,0.623598327840958,FALSE,FALSE,FALSE,FALSE,"no","no","no","L1CAM"
"ENSG00000198911",0.556792914941962,0.0718034598697072,0.875074931365172,0.0364881715207215,0.806478061224837,0.0353152883489857,0.460416916201175,0.103943927888023,FALSE,FALSE,FALSE,FALSE,"no","no","no","SREBF2"
"ENSG00000198912",0.138228799714454,0.20345816931285,0.686400042005725,0.095876391285978,0.526757252154856,0.107581778026872,0.3072572893742,0.180135512110234,FALSE,FALSE,FALSE,FALSE,"no","no","no","C1orf174"
"ENSG00000198914",NA,0.824534549764151,NA,2.01716084860732,NA,-1.19262629884317,NA,2.04809043886609,FALSE,NA,NA,NA,"no","no","no","POU3F3"
"ENSG00000198915",0.77342005995581,-0.127441948882705,0.964639451512985,0.037691504522137,0.68320483166729,-0.165133453404842,0.925663679975879,0.0605278352746812,FALSE,FALSE,FALSE,FALSE,"no","no","no","RASGEF1A"
"ENSG00000198918",0.905301303521128,0.0294043117553707,0.0371217995467381,0.280503988660425,0.079580052300488,-0.251099676905054,0.822014217800275,0.0771232306907318,FALSE,FALSE,FALSE,FALSE,"no","no","no","RPL39"
"ENSG00000198919",0.719699047039893,-0.0420783250841607,0.942032306456909,-0.0159978171777931,0.833760124592164,-0.0260805079063676,0.742419453289252,-0.0478448100205662,FALSE,FALSE,FALSE,FALSE,"no","no","no","DZIP3"
"ENSG00000198920",0.0429138127927832,-0.259414741048122,0.893629559989992,-0.0467044480262168,0.111831668872411,-0.212710293021906,0.260944741960822,-0.206964675914954,FALSE,FALSE,FALSE,FALSE,"no","no","no","KIAA0753"
"ENSG00000198924",0.209907435442834,-0.24216162028429,0.885195178539402,-0.0668635039372213,0.407985403881155,-0.175298116347068,0.697378855763636,-0.126908029672881,FALSE,FALSE,FALSE,FALSE,"no","no","no","DCLRE1A"
"ENSG00000198929",0.511819301897121,0.368972710494581,0.796828391136992,0.246569617651622,0.865573347111873,0.122403092842959,0.522670888302909,0.419868861444398,FALSE,FALSE,FALSE,FALSE,"no","no","no","NOS1AP"
"ENSG00000198930",0.149363953573747,-0.607608165282601,0.563230116009875,-0.391771489202412,0.686529309305634,-0.215836676080189,0.337402111444609,-0.562295523407697,FALSE,FALSE,FALSE,FALSE,"no","no","no","CSAG1"
"ENSG00000198931",0.31396840019465,-0.134489321902333,0.912638792196126,0.032809138901574,0.183017183993715,-0.167298460803907,0.649717047490886,-0.0981940669820474,FALSE,FALSE,FALSE,FALSE,"no","no","no","APRT"
"ENSG00000198932",0.315235863305926,0.223445529562242,0.838175481554561,0.0903175787407494,0.613288028739829,0.133127950821493,0.648599148410158,0.147837426556504,FALSE,FALSE,FALSE,FALSE,"no","no","no","GPRASP1"
"ENSG00000198933",0.594941385735344,-0.166032555919976,0.979198405444113,0.0179748545850509,0.542753456613976,-0.184007410505026,0.77501805042354,-0.129791810000761,FALSE,FALSE,FALSE,FALSE,"no","no","no","TBKBP1"
"ENSG00000198934",0.383587628240774,0.273158438197324,0.845925083456197,0.117142883367975,0.674268977580369,0.156015554829349,0.638844541180391,0.204025176508791,FALSE,FALSE,FALSE,FALSE,"no","no","no","MAGEE1"
