"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2","cluster_3"
"ENSG00000149571",9.57579834331701,-1.55234666442268,0.385801686047089,-4.023690721334,5.7293146180254e-05,0.00107597572592962,"KIRREL3",1,1,5
"ENSG00000150873",6.84667778229244,1.04180667884003,0.372302464352473,2.79828037306169,0.00513754953961035,0.040211034109087,"C2orf50",2,2,2
"ENSG00000151789",45.2794686092881,1.051413473974,0.317985168673198,3.30648589165669,0.000944741078677908,0.0108632047742817,"ZNF385D",2,3,3
"ENSG00000152931",3.06965741455434,-1.66402120739237,0.60425179523919,-2.75385397362977,0.00588980406954367,0.0448058271013211,"PART1",1,4,4
"ENSG00000152977",8.98192147331358,-1.29721721547059,0.387395517518886,-3.34856020993416,0.000812326281027432,0.00966410393063588,"ZIC1",1,4,4
"ENSG00000154080",13.663961734029,1.05565584559155,0.290312830431518,3.63627003333762,0.000276614362272096,0.00406514636319482,"CHST9",2,2,6
"ENSG00000154645",6.69847247465316,-1.11964308235572,0.392862161241446,-2.8499641676298,0.00437241547001733,0.0355857644052891,"CHODL",1,1,1
"ENSG00000155511",30.9644129079072,-1.8850927419781,0.208456244715717,-9.04310995599537,1.52276572568067e-19,6.7861848785807e-17,"GRIA1",1,1,5
"ENSG00000155792",4.5376545237349,1.51213431578204,0.398964772071583,3.79014494921554,0.000150559400323488,0.00246043008120316,"DEPTOR",2,2,2
"ENSG00000156395",3.33494095020887,1.91196399320047,0.513769052115823,3.72144640734305,0.000198084908907063,0.00308425123981922,"SORCS3",2,2,2
"ENSG00000156687",13.0493079159733,-1.80093663807695,0.320113088388906,-5.62593878038809,1.84501776775096e-08,9.47741369858116e-07,"UNC5D",1,1,5
"ENSG00000156925",21.6986482383825,-1.45783194063909,0.277146198164498,-5.26015493012035,1.4393407503647e-07,5.99325495776855e-06,"ZIC3",1,1,5
"ENSG00000156966",4.74324154979896,1.15015438084555,0.400270411553644,2.87344342136417,0.00406023796209858,0.0336936405420451,"B3GNT7",2,5,7
"ENSG00000157111",5.02045809737434,1.32494866994627,0.432426244707963,3.06398764219565,0.00218407931839434,0.0209867621684175,"TMEM171",2,5,7
"ENSG00000157423",11.8855123590423,1.65572752422181,0.317149567447423,5.22065200198104,1.78294297869397e-07,7.22332844611422e-06,"HYDIN",2,2,2
"ENSG00000158270",35.017020591115,1.48055061329589,0.211346129555315,7.00533582711477,2.4639410295817e-12,2.62115636366275e-10,"COLEC12",2,2,2
"ENSG00000158747",35.8959189404214,-1.27380229668241,0.216094725794501,-5.89464778466527,3.75481418400179e-09,2.25960332408779e-07,"NBL1",1,1,5
"ENSG00000158887",15.9366447311345,1.34498505690867,0.278847488688746,4.82337159726034,1.41151647107066e-06,4.39204937587552e-05,"MPZ",2,2,2
"ENSG00000160180",10.4838135179319,1.60771066872647,0.325965084792426,4.93215606128569,8.13268974136391e-07,2.69818754819617e-05,"TFF3",2,3,3
"ENSG00000162374",39.8803866779979,1.33183884153783,0.352817804078215,3.77486290698238,0.000160095684012076,0.00257717155062627,"ELAVL4",2,2,2
"ENSG00000162496",13.131757787105,1.06781842542823,0.252751344065805,4.22477842551143,2.3917598442672e-05,0.00051552204946223,"DHRS3",2,2,2
"ENSG00000162543",8.0356925335915,1.25103495251985,0.308757821274446,4.05183242761594,5.08180577693862e-05,0.000962042427737553,"UBXN10",2,2,6
"ENSG00000162631",14.6388076870347,1.11956191408078,0.39459874938595,2.837216072841,0.00455088026484046,0.0367300365574912,"NTNG1",2,3,3
