"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type","cluster_1","cluster_2","cluster_3"
"ENSG00000146476",107.329232563844,-1.03221436163381,0.184381814457224,-5.5982438651686,2.16534019838565e-08,2.13536544770552e-07,"ARMT1","dorsal",1,1,1
"ENSG00000078269",40.0853557026503,1.18543388411159,0.23739347048426,4.99354039390141,5.92823796404719e-07,4.58040951880166e-06,"SYNJ2","dorsal",2,2,2
"ENSG00000092820",210.234666975497,-1.16592894508639,0.253719768014211,-4.59534136504918,4.32041377829294e-06,2.84530320300686e-05,"EZR","dorsal",1,1,1
"ENSG00000112539",36.4672115737294,4.34962337805352,0.455443868983969,9.55029516097542,1.29327298038104e-21,5.22012002990167e-20,"C6orf118","dorsal",2,2,2
"ENSG00000112541",23.3878942937072,2.24106451218708,0.327344246584482,6.84620101184122,7.58369005243615e-12,1.21977936378358e-10,"PDE10A","dorsal",2,2,2
"ENSG00000176381",2.62507169816866,4.27645016053589,1.2181664966974,3.51056294203613,0.000447158932622356,0.00189462013795518,"PRR18","dorsal",3,3,3
"ENSG00000280707",17.7620864631376,-7.36547012832775,0.81609858361116,-9.02522106549461,1.79332920088406e-19,6.03849049440537e-18,"HPAT5","dorsal",1,1,1
"ENSG00000203688",5.64426293569753,3.48049714198246,0.826181292879592,4.21275230022632,2.52277671952742e-05,0.000142583934663166,"LINC02487","dorsal",4,5,5
"ENSG00000229921",6.30376645848748,-1.60921396570053,0.504572180119297,-3.18926415110731,0.00142635476100154,0.00525409320799562,"KIF25-AS1","dorsal",5,6,6
"ENSG00000164488",5.58339240275919,-2.32389289414209,0.56883957399939,-4.08532211956228,4.40157101977195e-05,0.000236185480352687,"DACT2","dorsal",5,6,6
"ENSG00000112562",35.1137811833845,-2.4468737287466,0.293095349596141,-8.34838810004381,6.92008640567598e-17,1.85299143979195e-15,"SMOC2","dorsal",1,1,1
"ENSG00000130024",232.255455175261,1.03490289530367,0.13770446173692,7.51539116634298,5.67410222008362e-14,1.14756313120589e-12,"PHF10","dorsal",4,5,5
"ENSG00000164850",10.4142644348103,2.76263850751229,0.566080469310934,4.88029292173802,1.05928387922412e-06,7.79339029755175e-06,"GPER1","dorsal",4,5,5
"ENSG00000164853",5.79516065009116,4.07549608268588,1.06320322095487,3.8332239804782,0.000126474698276827,0.000609761348358884,"UNCX","dorsal",3,3,3
"ENSG00000164877",48.7781203100221,1.0825123645225,0.233670647888007,4.63264160178698,3.61029234666252e-06,2.4151261906966e-05,"MICALL2","dorsal",3,3,3
"ENSG00000230487",11.4090524457173,-1.06880119338644,0.347090890937924,-3.07931213780425,0.00207479176580179,0.00735597481758362,"PSMG3-AS1","dorsal",5,6,10
"ENSG00000225968",43.566538501665,1.37513785890688,0.214214054479735,6.41945675435115,1.36761499202096e-10,1.86104814167243e-09,"ELFN1","dorsal",4,5,5
"ENSG00000106012",30.7580619779738,1.06072362645819,0.273639017690888,3.87636103728605,0.000106030320203489,0.000521197444213441,"IQCE","dorsal",4,7,7
"ENSG00000198286",10.5632881325602,-1.32483258999725,0.37135262430867,-3.56758644822727,0.000360284533409096,0.00155729053924529,"CARD11","dorsal",1,1,1
"ENSG00000164916",139.469861637119,2.41000484555095,0.17661551270831,13.6454879222937,2.14771181168079e-42,2.78939550398705e-40,"FOXK1","dorsal",3,3,3
"ENSG00000164638",27.1972537926295,1.03226526410413,0.263589906102027,3.9161790349611,8.99634499954025e-05,0.000451164220465517,"SLC29A4","dorsal",4,5,5
"ENSG00000182095",74.5779857875074,2.56403118822323,0.223292325535708,11.4828451093058,1.60897283383217e-30,1.21417032978355e-28,"TNRC18","dorsal",2,2,2
"ENSG00000075618",256.040931508642,1.59798926786883,0.130065056708316,12.2860767396771,1.07602728204972e-34,1.0021225789704e-32,"FSCN1","dorsal",4,5,5
"ENSG00000106392",140.870314257873,-1.25793876914179,0.165541920703479,-7.59891369990219,2.98626833432188e-14,6.2446697742468e-13,"C1GALT1","dorsal",1,1,1
"ENSG00000003147",14.6253034529686,-2.11478000536358,0.331228986247699,-6.3846465531918,1.71793789913032e-10,2.30329145858119e-09,"ICA1","dorsal",5,6,6
"ENSG00000005108",42.4049580444009,-1.11627669745373,0.267752596799394,-4.16906021004931,3.05858188737937e-05,0.000170047889906369,"THSD7A","dorsal",1,4,4
"ENSG00000106460",190.333556562926,-1.0491251205274,0.106470145495678,-9.85370232794495,6.60645511269328e-23,2.9608084744493e-21,"TMEM106B","dorsal",1,1,1
"ENSG00000146530",28.8870291752593,-3.17446508930989,0.275674492330453,-11.5152659300253,1.10518069678763e-30,8.44004394522778e-29,"VWDE","dorsal",1,1,1
"ENSG00000122644",179.85589883598,2.26334801702665,0.181943557837969,12.4398359794761,1.58829729494244e-35,1.54713122219597e-33,"ARL4A","dorsal",4,7,7
"ENSG00000136267",2.59683040416795,3.77690744873303,1.23568372076438,3.05653249716415,0.00223913207043415,0.00786414817673449,"DGKB","dorsal",4,5,5
"ENSG00000106524",52.0380781079722,1.54769452476679,0.205083719109952,7.546647444681,4.46605412234969e-14,9.11934816084495e-13,"ANKMY2","dorsal",2,2,2
"ENSG00000048052",103.097650663974,2.50946292936088,0.28747231583794,8.72940728934597,2.56010714337178e-18,7.97350172614258e-17,"HDAC9","dorsal",4,5,5
"ENSG00000183742",16.7723223648665,-4.45787666622541,0.4657513319565,-9.57136643603151,1.05501940803298e-21,4.34104106425984e-20,"MACC1","dorsal",1,1,1
"ENSG00000233834",2.44862304319777,-4.75921653677829,0.993166799749738,-4.791960965648,1.65159041135851e-06,1.1713285339397e-05,"GIRGL","dorsal",1,1,1
"ENSG00000105855",63.2001599508636,1.8791459588188,0.243186361116416,7.72718482316217,1.09950956309523e-14,2.38272832901408e-13,"ITGB8","dorsal",4,5,5
"ENSG00000164651",101.195621117122,1.16364076237936,0.156223518356537,7.44856328048934,9.43621672651698e-14,1.86884076496538e-12,"SP8","dorsal",3,3,8
"ENSG00000164649",22.1175892485813,-1.36320778019392,0.296245845306901,-4.6016097838661,4.19238084472177e-06,2.77246051567122e-05,"CDCA7L","dorsal",1,1,1
"ENSG00000228649",15.0335737292639,-1.84299121066872,0.319572550067372,-5.76705105078699,8.06706218427547e-09,8.49511038180845e-08,"SNHG26","dorsal",1,1,1
"ENSG00000122585",3.19361194200433,3.2995233215477,0.998491814105892,3.30450713259205,0.000951435549017156,0.00366669509524335,"NPY","dorsal",3,3,3
"ENSG00000070882",41.8386604155864,1.44289514600818,0.295205896756935,4.88775855042021,1.01990505452786e-06,7.53853166900734e-06,"OSBPL3","dorsal",4,5,5
"ENSG00000050344",65.8385016155989,1.04205970832248,0.26320800893394,3.95907294972932,7.52412539644533e-05,0.000382762062533798,"NFE2L3","dorsal",4,5,5
"ENSG00000225792",5.49968885717836,2.39460161476557,0.696027571206691,3.44038327478047,0.000580890939055479,0.00238246397603592,"SNX10-AS1","dorsal",4,7,7
"ENSG00000214870",41.6160313862091,2.67891214150889,0.359484809701584,7.45208717924051,9.18749788378448e-14,1.82147154306556e-12,"LINC02981","dorsal",3,3,3
"ENSG00000105996",6.704984413915,5.09568158654016,1.20507887193509,4.2285046275499,2.35249678666793e-05,0.000133951293322589,"HOXA2","dorsal",3,3,8
