"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007018","GO:0007018","microtubule-based movement","24/375","437/20772",1.55075201003686e-06,0.000501005266329218,0.000442574386497075,"ENSG00000068885/ENSG00000118965/ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000188316/ENSG00000152582/ENSG00000196659/ENSG00000204104/ENSG00000112981/ENSG00000151023/ENSG00000032742/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000125337/ENSG00000151746/ENSG00000088727/ENSG00000118997/ENSG00000183833/ENSG00000188596/ENSG00000179397",24
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","14/375","164/20772",1.75129563384776e-06,0.000501005266329218,0.000442574386497075,"ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000188316/ENSG00000152582/ENSG00000151023/ENSG00000197748/ENSG00000111834/ENSG00000088727/ENSG00000118997/ENSG00000188596/ENSG00000179397",14
"GO:0060285","GO:0060285","cilium-dependent cell motility","14/375","164/20772",1.75129563384776e-06,0.000501005266329218,0.000442574386497075,"ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000188316/ENSG00000152582/ENSG00000151023/ENSG00000197748/ENSG00000111834/ENSG00000088727/ENSG00000118997/ENSG00000188596/ENSG00000179397",14
"GO:0007409","GO:0007409","axonogenesis","24/375","456/20772",3.23813168906318e-06,0.000805730036716382,0.000711759936766201,"ENSG00000075223/ENSG00000154645/ENSG00000092421/ENSG00000170381/ENSG00000136603/ENSG00000164690/ENSG00000185033/ENSG00000124205/ENSG00000117632/ENSG00000182704/ENSG00000133216/ENSG00000196338/ENSG00000065320/ENSG00000177169/ENSG00000169242/ENSG00000185920/ENSG00000115310/ENSG00000141736/ENSG00000091129/ENSG00000136352/ENSG00000204852/ENSG00000185532/ENSG00000101856/ENSG00000127152",24
"GO:0048762","GO:0048762","mesenchymal cell differentiation","18/375","278/20772",3.38897885485674e-06,0.000805730036716382,0.000711759936766201,"ENSG00000075223/ENSG00000092421/ENSG00000125798/ENSG00000129514/ENSG00000148737/ENSG00000170381/ENSG00000164690/ENSG00000185033/ENSG00000124205/ENSG00000163376/ENSG00000164093/ENSG00000169242/ENSG00000070193/ENSG00000115310/ENSG00000162998/ENSG00000136352/ENSG00000110492/ENSG00000114315",18
"GO:0010977","GO:0010977","negative regulation of neuron projection development","13/375","150/20772",3.46643737226731e-06,0.000805730036716382,0.000711759936766201,"ENSG00000075223/ENSG00000092421/ENSG00000170381/ENSG00000185033/ENSG00000188906/ENSG00000182704/ENSG00000133216/ENSG00000065320/ENSG00000177169/ENSG00000169242/ENSG00000115310/ENSG00000114315/ENSG00000107104",13
"GO:0031345","GO:0031345","negative regulation of cell projection organization","15/375","202/20772",4.28425351778235e-06,0.000937243460743091,0.000827935308297133,"ENSG00000075223/ENSG00000092421/ENSG00000122417/ENSG00000170381/ENSG00000185033/ENSG00000188906/ENSG00000182704/ENSG00000133216/ENSG00000065320/ENSG00000127328/ENSG00000177169/ENSG00000169242/ENSG00000115310/ENSG00000114315/ENSG00000107104",15
"GO:0060294","GO:0060294","cilium movement involved in cell motility","13/375","154/20772",4.64009042509158e-06,0.000958694238384199,0.000846884340158528,"ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000188316/ENSG00000152582/ENSG00000151023/ENSG00000197748/ENSG00000111834/ENSG00000088727/ENSG00000188596/ENSG00000179397",13
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway","14/375","181/20772",5.58370271846565e-06,0.00109293633736704,0.000965470148716414,"ENSG00000065717/ENSG00000104953/ENSG00000148737/ENSG00000111087/ENSG00000068885/ENSG00000164690/ENSG00000182704/ENSG00000104964/ENSG00000146678/ENSG00000180730/ENSG00000162998/ENSG00000269113/ENSG00000110492/ENSG00000101311",14
"GO:0010975","GO:0010975","regulation of neuron projection development","24/375","480/20772",7.71146246582977e-06,0.00141358126636487,0.00124871913285256,"ENSG00000075223/ENSG00000154645/ENSG00000092421/ENSG00000132386/ENSG00000170381/ENSG00000136603/ENSG00000116741/ENSG00000163536/ENSG00000185033/ENSG00000188906/ENSG00000091409/ENSG00000182704/ENSG00000102383/ENSG00000133216/ENSG00000065320/ENSG00000177169/ENSG00000169242/ENSG00000115310/ENSG00000184304/ENSG00000091129/ENSG00000110492/ENSG00000114315/ENSG00000107104/ENSG00000172260",24
