"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type"
"ENSG00000204965",8.64735467234252,-1.32909902170134,0.342002262668275,-3.88622873817212,0.000101813577870687,0.000419566064811724,"PCDHA5","dorsal"
"ENSG00000113248",10.684605392831,-1.07587871000085,0.267321971480113,-4.02465500326781,5.70589018735463e-05,0.000246904934001023,"PCDHB15","dorsal"
"ENSG00000253485",2.16906503525415,-2.26462461613254,0.641792308210067,-3.52859419965391,0.000417773228207441,0.00151469342180512,"PCDHGA5","dorsal"
"ENSG00000253731",3.37076692096027,-3.09456032592627,0.571487616127768,-5.41492105619733,6.13157523685706e-08,4.3176148617784e-07,"PCDHGA6","dorsal"
"ENSG00000156453",32.0242626084239,-2.77736192442097,0.212483799036402,-13.0709349937082,4.82685718328163e-39,3.99968207261967e-37,"PCDH1","dorsal"
"ENSG00000113580",58.2510194787713,1.52144831908263,0.228528245361415,6.65759419224733,2.78346022994452e-11,2.9900861103815e-10,"NR3C1","dorsal"
"ENSG00000183775",8.53298314112733,1.86815080414349,0.462952288729593,4.03529877618698,5.45328589406143e-05,0.000237001347778905,"KCTD16","dorsal"
"ENSG00000239317",10.832527589654,-1.02298365036148,0.312554061162492,-3.27298146937098,0.00106419454228891,0.00349711453176067,"RPL35AP17","dorsal"
"ENSG00000156475",25.0441521539439,-1.10715229227371,0.17500407948711,-6.32643704945896,2.50886581184717e-10,2.41572084197628e-09,"PPP2R2B","dorsal"
"ENSG00000169302",8.27257630483379,-2.47522169977286,0.610157619727668,-4.05669227056055,4.97725908049704e-05,0.00021768695540413,"STK32A","dorsal"
"ENSG00000113657",1241.0997741414,-2.42290863509744,0.128944582807728,-18.7903096224701,9.06489602633576e-79,3.29138133901682e-76,"DPYSL3","dorsal"
"ENSG00000280780",65.7609172836151,-5.83544502494443,0.266405459630694,-21.9043747565603,2.35997716784073e-106,1.62512910488894e-103,"JAKMIP2-AS1","dorsal"
"ENSG00000164266",5.27047308372746,-5.00363691273847,0.652431964719135,-7.66920871955207,1.73060629283893e-14,2.63617144683398e-13,"SPINK1","dorsal"
"ENSG00000164265",45.1150961043275,-8.12785418248262,0.615098502004546,-13.2139066442118,7.29384465584029e-40,6.25141964708715e-38,"SCGB3A2","dorsal"
"ENSG00000169252",1.39876162774826,3.02821637463907,1.01576560997112,2.98121569081784,0.0028710649865218,0.00849032545251597,"ADRB2","dorsal"
"ENSG00000155846",19.3895533748753,-2.54508872986707,0.258672974916746,-9.83902060385784,7.64514326223849e-23,2.35971423410978e-21,"PPARGC1B","dorsal"
"ENSG00000113721",107.154155404297,3.64508126219946,0.259530080050392,14.0449279000404,8.2752562878199e-45,8.88477785310556e-43,"PDGFRB","dorsal"
"ENSG00000070808",9.81779233839489,1.734322785924,0.373782073805289,4.63993034301436,3.48526635820943e-06,1.85010019068161e-05,"CAMK2A","dorsal"
"ENSG00000164591",13.2313326457764,-3.64395797599432,0.393527154967138,-9.25973704736747,2.04936282849247e-20,5.25362974133435e-19,"MYOZ3","dorsal"
"ENSG00000198624",14.8089289799157,-2.02008089689297,0.478541002737563,-4.22133293769354,2.42861915639768e-05,0.000112449627992723,"CCDC69","dorsal"
"ENSG00000123643",26.5183889918728,-1.18490650977454,0.198284291643577,-5.97579616596384,2.2896914909363e-09,1.957411775428e-08,"SLC36A1","dorsal"
"ENSG00000113140",1235.99720112725,1.48370343493574,0.106088529262444,13.9855217642364,1.91070396423683e-44,2.01887609342907e-42,"SPARC","dorsal"
"ENSG00000155511",53.5585388363594,5.42995263475722,0.454327336666454,11.9516308981065,6.36634890452942e-33,3.84096639345778e-31,"GRIA1","dorsal"
"ENSG00000164330",22.7081212686725,3.45783502245552,0.385601661639315,8.96737583483216,3.03662520831565e-19,7.04313651684825e-18,"EBF1","dorsal"
"ENSG00000170231",2.059192472736,-2.88761968551163,0.824108638602584,-3.50393085359241,0.000458444379283763,0.00164690308586018,"FABP6","dorsal"
"ENSG00000113327",2.02349914141242,-2.27390253214691,0.675584568800446,-3.36582958989783,0.000763138377022405,0.00260555195574242,"GABRG2","dorsal"
"ENSG00000254252",8.88909081828934,-6.36811616045767,0.694658473145557,-9.16726190874995,4.85185897126602e-20,1.21418074757121e-18,"RPL7P20","dorsal"
"ENSG00000145934",35.7608168491503,3.59405447055473,0.32860426893022,10.9373334748671,7.64143882004422e-28,3.25372139096552e-26,"TENM2","dorsal"
"ENSG00000184347",21.2261939264227,2.25463388875594,0.424641383555548,5.30950108978488,1.09925726685903e-07,7.49220737855796e-07,"SLIT3","dorsal"
"ENSG00000214357",34.238625819572,1.2280616846571,0.223554125260278,5.49335282105529,3.94373788193737e-08,2.85659940160643e-07,"NEURL1B","dorsal"
"ENSG00000120129",96.9362852784851,2.78178468596324,0.279234027817668,9.96219804478725,2.23075280217706e-23,7.2318398473175e-22,"DUSP1","dorsal"
"ENSG00000183072",1.92638249283683,3.11914630012542,0.970278900810256,3.21469043335962,0.00130585265491004,0.00421222379559902,"NKX2-5","dorsal"
"ENSG00000170091",4.81144063958954,3.90328638976414,0.851915959755273,4.58177399433323,4.61048019577734e-06,2.40019002892788e-05,"NSG2","dorsal"
"ENSG00000120149",28.6419977983636,4.29475748402358,0.423847882379018,10.1327803265585,3.95248071312091e-24,1.36795562982712e-22,"MSX2","dorsal"
"ENSG00000184845",1.9745706021691,3.36696792161236,0.93071952157636,3.61759675558296,0.000297351186960543,0.00111242098231586,"DRD1","dorsal"
"ENSG00000175414",63.5846132795022,1.61372319628093,0.145373161617787,11.1005578906216,1.24663278902165e-28,5.61969679385153e-27,"ARL10","dorsal"
"ENSG00000048162",77.4357479103937,-1.23125425301907,0.1562856642301,-7.87822900510116,3.32053730854599e-15,5.44873706258532e-14,"NOP16","dorsal"
"ENSG00000074317",5.16362394394934,-4.64709386944017,0.656736939627483,-7.0760354550425,1.48336925253272e-12,1.83993068155767e-11,"SNCB","dorsal"
"ENSG00000175766",0.964385001684466,-3.85173196294742,0.992721945204909,-3.87997060158912,0.000104469090846579,0.000429622682085292,"EIF4E1B","dorsal"
"ENSG00000113763",7.53193256869025,-2.86995458879122,0.438793770017342,-6.54055454952743,6.12911359140559e-11,6.30919579486441e-10,"UNC5A","dorsal"
"ENSG00000160867",19.4188419284181,-1.72009707755328,0.286079769851048,-6.01264842476934,1.82516590317301e-09,1.57854322591446e-08,"FGFR4","dorsal"
