#node	identifier	node_degree
FOXA2	9606.ENSP00000400341	72
FOXC1	9606.ENSP00000493906	29
FOXD2	9606.ENSP00000335493	0
FOXE1	9606.ENSP00000364265	16
FOXG1	9606.ENSP00000339004	67
FOXI3	9606.ENSP00000478384	1
FOXJ2	9606.ENSP00000162391	4
FOXN4	9606.ENSP00000299162	12
FOXO3	9606.ENSP00000339527	52
FOXP1	9606.ENSP00000484803	28
FOXP4	9606.ENSP00000362151	3
FRAS1	9606.ENSP00000422834	4
FRAT1	9606.ENSP00000360060	2
FRAT2	9606.ENSP00000360058	4
FREM1	9606.ENSP00000412940	8
FREM2	9606.ENSP00000280481	6
FRMD4A	9606.ENSP00000350032	5
FRMD4B	9606.ENSP00000381549	3
FRMPD4	9606.ENSP00000370057	1
FRRS1L	9606.ENSP00000477141	6
FRZB	9606.ENSP00000295113	23
FSCN1	9606.ENSP00000371798	18
FSTL5	9606.ENSP00000305334	2
FTCDNL1	9606.ENSP00000482786	0
FXYD5	9606.ENSP00000444839	3
FZD10	9606.ENSP00000229030	17
FZD2	9606.ENSP00000323901	25
FZD5	9606.ENSP00000354607	28
FZD8	9606.ENSP00000363826	30
GAB2	9606.ENSP00000354952	10
GABRB2	9606.ENSP00000274547	25
GABRG3	9606.ENSP00000479113	12
GAD1	9606.ENSP00000350928	61
GADD45A	9606.ENSP00000360025	27
GADD45G	9606.ENSP00000252506	10
GADL1	9606.ENSP00000282538	8
GALNT17	9606.ENSP00000329654	2
GALNT3	9606.ENSP00000376465	3
GALNT6	9606.ENSP00000348668	1
GALR1	9606.ENSP00000299727	10
GAP43	9606.ENSP00000377372	42
GAS1	9606.ENSP00000298743	15
GASK1B	9606.ENSP00000377396	3
GBP1	9606.ENSP00000359504	9
GBX2	9606.ENSP00000302251	32
GCGR	9606.ENSP00000383558	13
GCNT1	9606.ENSP00000415454	8
GCNT2	9606.ENSP00000419411	7
GCNT4	9606.ENSP00000317027	2
GDF10	9606.ENSP00000464145	6
GDF15	9606.ENSP00000252809	28
GDF6	9606.ENSP00000287020	11
GDF7	9606.ENSP00000272224	11
GDPD5	9606.ENSP00000337972	1
GDPGP1	9606.ENSP00000452793	0
GEM	9606.ENSP00000297596	0
GFRA1	9606.ENSP00000347591	23
GFRA3	9606.ENSP00000274721	14
GHRH	9606.ENSP00000362716	26
GIPR	9606.ENSP00000467494	12
GJA1	9606.ENSP00000282561	63
GJA3	9606.ENSP00000241125	10
GJB2	9606.ENSP00000372295	15
GLDN	9606.ENSP00000335196	9
GLI1	9606.ENSP00000228682	69
GLI2	9606.ENSP00000390436	49
GLI3	9606.ENSP00000379258	46
GLIPR1L2	9606.ENSP00000448248	2
GLIS3	9606.ENSP00000371398	10
