gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
CHRD,SMAD7,0.549,keep,NA,expressed,FALSE,1.50353944715565e-06,0.0125828322890138
CHRD,LEFTY1,0.559,keep,NA,expressed,FALSE,1.50353944715565e-06,1.63782096055271e-05
CHRD,OLFM1,0.561,keep,NA,expressed,FALSE,1.50353944715565e-06,0.0501985505008058
CHRD,SHH,0.578,keep,NA,expressed,TRUE,1.50353944715565e-06,1
CHRNA3,RIN3,0.418,keep,NA,expressed,FALSE,0.00345149327455044,0.00123469978109822
CLDN23,ZC3H12C,0.417,keep,NA,expressed,FALSE,0.0167311695433298,0.00102971463305766
CMTM3,CMTM7,0.896,keep,NA,expressed,FALSE,0.0041037717910986,0.00780499683404499
CNTN1,ITPR1,0.484,keep,NA,expressed,FALSE,2.65144160685114e-05,0.00135768713405362
CNTN1,NFASC,0.998,keep,NA,expressed,FALSE,2.65144160685114e-05,0.00443278207954576
CNTN1,PODXL,0.623,keep,NA,expressed,FALSE,2.65144160685114e-05,0.500627943783634
CNTN6,NTRK2,0.466,keep,NA,expressed,FALSE,0.620569213455202,0.67648009689057
CNTN6,NFASC,0.469,keep,NA,expressed,FALSE,0.620569213455202,0.00443278207954576
COL12A1,COL8A1,0.67,keep,NA,expressed,FALSE,0.000441808597759817,0.00408483328757876
COL12A1,NID1,0.418,keep,NA,expressed,FALSE,0.000441808597759817,0.136260757932666
COL12A1,COL14A1,0.772,keep,NA,expressed,FALSE,0.000441808597759817,0.0136473389625893
COL12A1,GPRIN2,0.439,keep,NA,expressed,FALSE,0.000441808597759817,0.00564709931246992
COL12A1,FBLN1,0.469,keep,NA,expressed,FALSE,0.000441808597759817,0.00666907917797056
COL12A1,COL23A1,0.473,keep,NA,expressed,FALSE,0.000441808597759817,0.00423384613951103
COL12A1,COL8A2,0.646,keep,NA,expressed,FALSE,0.000441808597759817,0.000133472369372195
COL12A1,COL27A1,0.695,keep,NA,expressed,FALSE,0.000441808597759817,0.00016037723319966
COL14A1,TGFB3,0.614,keep,NA,expressed,FALSE,0.0136473389625893,4.81377888782815e-06
COL14A1,COL8A1,0.614,keep,NA,expressed,FALSE,0.0136473389625893,0.00408483328757876
COL14A1,NID1,0.596,keep,NA,expressed,FALSE,0.0136473389625893,0.136260757932666
COL14A1,COL27A1,0.535,keep,NA,expressed,FALSE,0.0136473389625893,0.00016037723319966
COL14A1,COL23A1,0.538,keep,NA,expressed,FALSE,0.0136473389625893,0.00423384613951103
COL14A1,FBLN1,0.596,keep,NA,expressed,FALSE,0.0136473389625893,0.00666907917797056
COL14A1,COL8A2,0.757,keep,NA,expressed,FALSE,0.0136473389625893,0.000133472369372195
