"","gene","category"
"SRSF8","SRSF8","cyclo"
"LOXL1","LOXL1","cyclo"
"OXCT1","OXCT1","cyclo"
"CYB561D1","CYB561D1","cyclo"
"AHSP","AHSP","cyclo"
"RAC3","RAC3","cyclo"
"RPL9P3","RPL9P3","cyclo"
"PC","PC","cyclo"
"GABRG2","GABRG2","cyclo"
"BRAFP1","BRAFP1","cyclo"
"KCNN2","KCNN2","cyclo"
"ACAD8","ACAD8","cyclo"
"LOC100506321","LOC100506321","cyclo"
"RBM3","RBM3","cyclo"
"THNSL1","THNSL1","cyclo"
"LEFTY1","LEFTY1","cyclo"
"PCTP","PCTP","cyclo"
"LNC-LBCS","LNC-LBCS","cyclo"
"C22orf46P","C22orf46P","cyclo"
"TRIM60P14","TRIM60P14","cyclo"
"RPL17P13","RPL17P13","cyclo"
"PIN1","PIN1","cyclo"
"PUS7","PUS7","cyclo"
"LOC124909396","LOC124909396","cyclo"
"MCRIP2P2","MCRIP2P2","cyclo"
"SLC26A4","SLC26A4","cyclo"
"LCDR","LCDR","cyclo"
"TIAM2","TIAM2","cyclo"
"ATG9B","ATG9B","cyclo"
"CCDC142","CCDC142","cyclo"
"NOX1","NOX1","cyclo"
"B3GNT7","B3GNT7","cyclo"
"LINC02003","LINC02003","cyclo"
"KIF23-AS1","KIF23-AS1","cyclo"
"MPRIP","MPRIP","cyclo"
"LOC124900183","LOC124900183","cyclo"
"ZBTB1","ZBTB1","cyclo"
"GDI2","GDI2","cyclo"
"TBXA2R","TBXA2R","cyclo"
"TMEM255B","TMEM255B","cyclo"
"RPP40","RPP40","cyclo"
"RORA-AS1","RORA-AS1","cyclo"
"CPE","CPE","both"
"CAPS2","CAPS2","cyclo"
"RAD51-AS1","RAD51-AS1","cyclo"
"SLC26A1","SLC26A1","cyclo"
"NBPF19","NBPF19","cyclo"
"CFAP61","CFAP61","cyclo"
"FOXD1","FOXD1","cyclo"
"ADGRD2","ADGRD2","cyclo"
"ZNF449","ZNF449","cyclo"
"CIBAR2","CIBAR2","cyclo"
"TNN","TNN","cyclo"
"RN7SL583P","RN7SL583P","cyclo"
"KBTBD7","KBTBD7","cyclo"
"SLC39A1","SLC39A1","cyclo"
"CKMT2","CKMT2","cyclo"
"MACROD2","MACROD2","cyclo"
"TAF6","TAF6","cyclo"
"ST8SIA6-AS1","ST8SIA6-AS1","cyclo"
"WWC2-AS2","WWC2-AS2","cyclo"
"PIGM","PIGM","cyclo"
"EOLA2-DT","EOLA2-DT","cyclo"
"HTR7P1","HTR7P1","cyclo"
"FBXO46","FBXO46","cyclo"
"ARHGAP42-AS1","ARHGAP42-AS1","cyclo"
"LOC124902532","LOC124902532","cyclo"
"RNU6-97P","RNU6-97P","cyclo"
"TGFB3","TGFB3","cyclo"
"SLC22A31","SLC22A31","cyclo"
"RN7SL653P","RN7SL653P","cyclo"
"LINC02449","LINC02449","cyclo"
"SCNM1","SCNM1","cyclo"
"LRRC3","LRRC3","cyclo"
"CDH15","CDH15","cyclo"
"OPRD1","OPRD1","both"
"ACADS","ACADS","cyclo"
"FBXW10B","FBXW10B","cyclo"
"RANBP3","RANBP3","cyclo"
"H2BC20P","H2BC20P","cyclo"
"FLCN","FLCN","cyclo"
"RPS7P10","RPS7P10","cyclo"
"LOC100422441","LOC100422441","cyclo"
"JMJD4","JMJD4","cyclo"
"REPS2","REPS2","cyclo"
"DPCD","DPCD","cyclo"
"NRAV","NRAV","cyclo"
"GPER1","GPER1","cyclo"
"DCAF8-DT","DCAF8-DT","cyclo"
"GRM7","GRM7","cyclo"
"SLC38A6","SLC38A6","cyclo"
"CTCFL","CTCFL","cyclo"
"TIGD6","TIGD6","cyclo"
"SOX7","SOX7","cyclo"
"GRIK4","GRIK4","cyclo"
"GRM6","GRM6","cyclo"
"SLC7A2","SLC7A2","cyclo"
"GAGE10","GAGE10","cyclo"
"CHRD","CHRD","cyclo"
"FAM86GP","FAM86GP","cyclo"
"ANKRD24","ANKRD24","cyclo"
"LOC105371824","LOC105371824","cyclo"
"VPS26B","VPS26B","cyclo"
"APEX1","APEX1","cyclo"
"NMNAT2","NMNAT2","cyclo"
"SLC45A1","SLC45A1","cyclo"
"RNU6-321P","RNU6-321P","cyclo"
"LOC124902204","LOC124902204","cyclo"
"RAB34","RAB34","cyclo"
"VN1R110P","VN1R110P","cyclo"
"LINC00511","LINC00511","cyclo"
"SDCBP2-AS1","SDCBP2-AS1","cyclo"
"ATG4D","ATG4D","cyclo"
"VLDLR-AS1","VLDLR-AS1","cyclo"
