"","Figure4B"
"ENSG00000149090","Cluster 2"
"ENSG00000149289","Cluster 1"
"ENSG00000149294","Cluster 1"
"ENSG00000149403","Cluster 1"
"ENSG00000149451","Cluster 1"
"ENSG00000149571","Cluster 2"
"ENSG00000149658","Cluster 2"
"ENSG00000149716","Cluster 1"
"ENSG00000149809","Cluster 1"
"ENSG00000150636","Cluster 1"
"ENSG00000150687","Cluster 2"
"ENSG00000150760","Cluster 1"
"ENSG00000150764","Cluster 1"
"ENSG00000150776","Cluster 1"
"ENSG00000150907","Cluster 1"
"ENSG00000150991","Cluster 2"
"ENSG00000150995","Cluster 1"
"ENSG00000151150","Cluster 2"
"ENSG00000151233","Cluster 2"
"ENSG00000151376","Cluster 2"
"ENSG00000151445","Cluster 1"
"ENSG00000151474","Cluster 2"
"ENSG00000151498","Cluster 1"
"ENSG00000151502","Cluster 1"
"ENSG00000151690","Cluster 1"
"ENSG00000151692","Cluster 1"
"ENSG00000152104","Cluster 2"
"ENSG00000152137","Cluster 2"
"ENSG00000152193","Cluster 1"
"ENSG00000152213","Cluster 2"
"ENSG00000152219","Cluster 2"
"ENSG00000152413","Cluster 2"
"ENSG00000152518","Cluster 2"
"ENSG00000152578","Cluster 1"
"ENSG00000152661","Cluster 2"
"ENSG00000152767","Cluster 2"
"ENSG00000152926","Cluster 1"
"ENSG00000152931","Cluster 2"
"ENSG00000152977","Cluster 2"
"ENSG00000153093","Cluster 2"
"ENSG00000153094","Cluster 2"
"ENSG00000153179","Cluster 2"
"ENSG00000153208","Cluster 2"
"ENSG00000153404","Cluster 2"
"ENSG00000153551","Cluster 1"
"ENSG00000153789","Cluster 1"
"ENSG00000153879","Cluster 2"
"ENSG00000153898","Cluster 2"
"ENSG00000153904","Cluster 1"
"ENSG00000154027","Cluster 1"
"ENSG00000154099","Cluster 1"
"ENSG00000154153","Cluster 1"
"ENSG00000154269","Cluster 1"
"ENSG00000154447","Cluster 2"
"ENSG00000154553","Cluster 2"
"ENSG00000154640","Cluster 2"
"ENSG00000154645","Cluster 2"
"ENSG00000154743","Cluster 1"
"ENSG00000154760","Cluster 1"
"ENSG00000154803","Cluster 1"
"ENSG00000154814","Cluster 2"
"ENSG00000155254","Cluster 2"
"ENSG00000155511","Cluster 2"
"ENSG00000155850","Cluster 1"
"ENSG00000155903","Cluster 2"
"ENSG00000155966","Cluster 1"
"ENSG00000156011","Cluster 1"
"ENSG00000156049","Cluster 1"
"ENSG00000156232","Cluster 2"
"ENSG00000156299","Cluster 2"
"ENSG00000156395","Cluster 1"
"ENSG00000156587","Cluster 2"
"ENSG00000156675","Cluster 2"
"ENSG00000156687","Cluster 2"
"ENSG00000156925","Cluster 2"
"ENSG00000156928","Cluster 2"
"ENSG00000156959","Cluster 1"
"ENSG00000156966","Cluster 1"
"ENSG00000157064","Cluster 1"
"ENSG00000157077","Cluster 2"
"ENSG00000157168","Cluster 2"
"ENSG00000157216","Cluster 1"
"ENSG00000157404","Cluster 1"
"ENSG00000157637","Cluster 1"
"ENSG00000157654","Cluster 2"
