"","genes","state"
"463","MAFF","Het_Con"
"464","SLC24A3","common"
"465","FAM43A","Het_Con"
"466","TNFAIP2","Het_Con"
"467","GALNT17","Het_Con"
"468","FAM174B","Het_Con"
"469","GPRIN3","Het_Con"
"470","DLK1","common"
"471","PDIA2","Het_Con"
"472","POU3F1","Het_Con"
"473","LEMD1","common"
"474","DLEU7","common"
"475","BTN3A2","Het_Con"
"476","FOXD2","Het_Con"
"477","MPPED1","common"
"478","LINC01551","common"
"479","MITF","Het_Con"
"480","GCNT1","common"
"481","DCC","common"
"482","ZNF385C","Het_Con"
"483","HEPACAM2","Het_Con"
"484","NCR3LG1","Het_Con"
"485","IER5L","Het_Con"
"486","COL25A1","common"
"487","KCTD21","Het_Con"
"488","SH2D5","Het_Con"
"489","GREB1","Het_Con"
"490","RYR1","Het_Con"
"491","ELAVL3","common"
"492","SLC35F1","Het_Con"
"493","SPTSSB","Het_Con"
"494","LINC00173","Het_Con"
"495","POU3F4","Het_Con"
"496","ZNF763","Het_Con"
"497","ATP6AP1-DT","Het_Con"
"498","TEAD4","Het_Con"
"499","S100A6","Het_Con"
"500","ARC","Het_Con"
"501","SMOC1","common"
"502","F5","Het_Con"
"503","GRM3","Het_Con"
"504","SUCNR1","Het_Con"
"505","CSAG1","Het_Con"
"506","LOC124903417","Het_Con"
"507","SNORD113-3","Het_Con"
"508","SNORD114-3","Het_Con"
"509","GP1BB","Het_Con"
"510","SAMD5","Het_Con"
"511","RBM20","Het_Con"
"512","MAFB","common"
"513","SP5","Het_Con"
"514","BTBD17","Het_Con"
"515","GARIN1A","Het_Con"
"516","LINC00654","Het_Con"
"517","ADGRG1","Het_Con"
"518","SAMD9","Het_Con"
"519","ONECUT3","Het_Con"
"520","VGLL3","Het_Con"
"521","RPL17P50","Het_Con"
"522","MEG3","common"
"523","ARHGEF28","Het_Con"
"524","PLXNA4","Het_Con"
"525","SLC12A8","Het_Con"
"526","SOX1-OT","Het_Con"
"527","LEMD1-DT","Het_Con"
"528","MIAT","Het_Con"
"529","LINC00511","Het_Con"
"530","MIR34AHG","Het_Con"
"531","LOC101927745","Het_Con"
"532","RPL17P28","Het_Con"
"533","FEZF1-AS1","common"
"534","FSIP2-AS1","Het_Con"
"535","LOC105375971","Het_Con"
"536","LINC00327","Het_Con"
"537","RPS8P9","Het_Con"
"538","LNCTAM34A","Het_Con"
"539","LINC01239","Het_Con"
