"","genes","state"
"537","UBE3D","C_Hom_DE"
"538","PLAGL1","common"
"539","TNFAIP3","C_Hom_DE"
"540","MYB","C_Hom_DE"
"541","DCLRE1B","C_Hom_DE"
"542","FOXO3","C_Hom_DE"
"543","ARMC2","C_Hom_DE"
"544","MFSD1","C_Hom_DE"
"545","PPL","C_Hom_DE"
"546","DNAH7","C_Hom_DE"
"547","SATB2","C_Hom_DE"
"548","C1orf198","C_Hom_DE"
"549","TRIM67","C_Hom_DE"
"550","NEK6","C_Hom_DE"
"551","ONECUT2","C_Hom_DE"
"552","BBOF1","C_Hom_DE"
"553","FLVCR2","C_Hom_DE"
"554","ABCD4","C_Hom_DE"
"555","LGALSL","C_Hom_DE"
"556","CNRIP1","C_Hom_DE"
"557","BCL11A","C_Hom_DE"
"558","IFIT3","C_Hom_DE"
"559","IFIT2","C_Hom_DE"
"560","AVPI1","C_Hom_DE"
"561","MSX2","C_Hom_DE"
"562","MOB3B","C_Hom_DE"
"563","CCDC170","common"
"564","ARAP3","C_Hom_DE"
"565","TNN","C_Hom_DE"
"566","ACAT2","C_Hom_DE"
"567","TGFBI","C_Hom_DE"
"568","FAM53C","C_Hom_DE"
"569","GLT8D2","C_Hom_DE"
"570","DUSP4","common"
"571","CLU","C_Hom_DE"
"572","PDLIM2","C_Hom_DE"
"573","EPHX2","C_Hom_DE"
"574","TNFRSF8","C_Hom_DE"
"575","CRISPLD1","C_Hom_DE"
"576","RDH10","C_Hom_DE"
"577","NACA3P","C_Hom_DE"
"578","TSHZ3","C_Hom_DE"
"579","KCNJ8","C_Hom_DE"
"580","PSPC1","C_Hom_DE"
"581","ZSCAN18","C_Hom_DE"
"582","PDZRN3","common"
"583","GJA3","C_Hom_DE"
"584","CPXM2","C_Hom_DE"
"585","RPL21","C_Hom_DE"
"586","ZNF205","C_Hom_DE"
"587","RPL5","C_Hom_DE"
"588","WIPF3","C_Hom_DE"
"589","INHBA","common"
"590","FKBP9","C_Hom_DE"
"591","TWIST1","common"
"592","SLC25A51","C_Hom_DE"
"593","DNAI1","C_Hom_DE"
"594","NUDT10","C_Hom_DE"
"595","BICC1","C_Hom_DE"
"596","P4HA1","C_Hom_DE"
"597","ZWINT","C_Hom_DE"
"598","CDKN2C","C_Hom_DE"
"599","SSPN","C_Hom_DE"
"600","ITIH5","C_Hom_DE"
"601","NFE2","C_Hom_DE"
"602","SARDH","C_Hom_DE"
"603","RAB9B","C_Hom_DE"
"604","NMI","C_Hom_DE"
"605","LPGAT1","C_Hom_DE"
"606","DAW1","C_Hom_DE"
"607","NCOA5","C_Hom_DE"
"608","TOX2","C_Hom_DE"
"609","SRSF6","C_Hom_DE"
"610","EDN3","C_Hom_DE"
"611","PTGIS","C_Hom_DE"
"612","SNAI1","C_Hom_DE"
"613","MOCS3","C_Hom_DE"
"614","PMEPA1","C_Hom_DE"
"615","BCAS4","C_Hom_DE"
"616","IQSEC2","C_Hom_DE"
"617","PAIP2B","C_Hom_DE"
"618","HIF3A","C_Hom_DE"
"619","H1-3","C_Hom_DE"
"620","RPS10","C_Hom_DE"
"621","COL21A1","C_Hom_DE"
"622","CDKN1A","common"
"623","CXCL6","C_Hom_DE"
"624","MYRF","common"
"625","MT2A","common"
"626","GRK4","C_Hom_DE"
"627","MBOAT7","C_Hom_DE"
"628","PAX8","common"
"629","RPL23","C_Hom_DE"
"630","FOSB","common"
"631","EML2","C_Hom_DE"
"632","SDCBP2","C_Hom_DE"
"633","FOXA2","common"
"634","CENPB","C_Hom_DE"
"635","NKX2-2","common"
"636","BMP2","C_Hom_DE"
"637","FLRT3","C_Hom_DE"
"638","PCSK2","C_Hom_DE"
"639","LAMP5","common"
"640","ROMO1","C_Hom_DE"
"641","AMOT","C_Hom_DE"
"642","TUBGCP3","C_Hom_DE"
"643","LRFN3","C_Hom_DE"
"644","FRMD8","C_Hom_DE"
"645","PRMT1","C_Hom_DE"
"646","PRR12","C_Hom_DE"
"647","STAT5A","C_Hom_DE"
"648","PRKCG","C_Hom_DE"
"649","FAM78A","C_Hom_DE"
"650","ZNF484","C_Hom_DE"
"651","FGD3","common"
"652","BCL11B","C_Hom_DE"
"653","RAP1B","C_Hom_DE"
"654","AUNIP","C_Hom_DE"
"655","KLF2","C_Hom_DE"
"656","UQCR11","C_Hom_DE"
"657","SYNGR3","C_Hom_DE"
"658","TNFRSF19","C_Hom_DE"
"659","GAL3ST1","C_Hom_DE"
"660","CDC42EP1","C_Hom_DE"
"661","TPST2","C_Hom_DE"
"662","KRT17","common"
"663","CDHR3","C_Hom_DE"
"664","VGF","common"
"665","PODXL","C_Hom_DE"
"666","FOXP2","C_Hom_DE"
"667","IFT22","C_Hom_DE"
"668","FEZF1","common"
"669","PDE11A","common"
"670","CHN1","C_Hom_DE"
"671","GAD1","C_Hom_DE"
"672","HAT1","C_Hom_DE"
"673","TMOD2","C_Hom_DE"
"674","ALDH1A2","C_Hom_DE"
"675","CHAC1","C_Hom_DE"
"676","THAP10","C_Hom_DE"
"677","KCNC1","C_Hom_DE"
"678","E2F8","C_Hom_DE"
"679","ATP1B2","C_Hom_DE"
"680","FXR2","C_Hom_DE"
"681","DNAAF11","C_Hom_DE"
"682","HEATR5A","C_Hom_DE"
"683","FOXA1","common"
"684","QRICH2","C_Hom_DE"
"685","FOXJ1","C_Hom_DE"
"686","DOHH","C_Hom_DE"
"687","PLPPR3","C_Hom_DE"
"688","GDPD2","C_Hom_DE"
"689","SAT1","common"
"690","CNN1","C_Hom_DE"
"691","THEM6","C_Hom_DE"
"692","APOE","C_Hom_DE"
"693","GADD45G","common"
"694","RPL36","C_Hom_DE"
"695","BST2","C_Hom_DE"
"696","MTRES1","C_Hom_DE"
"697","CACNG6","C_Hom_DE"
"698","GDF15","C_Hom_DE"
"699","TRPM4","C_Hom_DE"
"700","SULT4A1","C_Hom_DE"
"701","OLFM1","C_Hom_DE"
"702","COL5A1","C_Hom_DE"
"703","ASS1","common"
"704","ZC3H4","C_Hom_DE"
"705","NPAS1","C_Hom_DE"
"706","ARHGEF16","C_Hom_DE"
"707","MED18","C_Hom_DE"
"708","HIP1R","C_Hom_DE"
"709","PNCK","C_Hom_DE"
"710","SYNE1","C_Hom_DE"
"711","EPS8L1","C_Hom_DE"
"712","ZNF341","C_Hom_DE"
"713","C1QL1","C_Hom_DE"
"714","GINS2","C_Hom_DE"
"715","F12","C_Hom_DE"
"716","PRR7","C_Hom_DE"
"717","RFTN1","C_Hom_DE"
"718","NAPSA","C_Hom_DE"
"719","PSME3","C_Hom_DE"
"720","RPL27","C_Hom_DE"
"721","AOC3","C_Hom_DE"
"722","AOC2","C_Hom_DE"
"723","FMO5","C_Hom_DE"
"724","ZSCAN5A","C_Hom_DE"
"725","LIN28A","C_Hom_DE"
"726","RHPN2","C_Hom_DE"
"727","LRRC9","C_Hom_DE"
"728","MATN3","C_Hom_DE"
"729","TRIM22","C_Hom_DE"
