"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2"
"ENSG00000154640",219.344836474823,1.70806905835651,0.155705500774954,10.9698697210784,5.33492075566739e-28,1.97083828093811e-26,"BTG3",2,2
"ENSG00000154654",2.24912443600844,1.60177739112722,0.499443387226849,3.20712503577445,0.00134068710319079,0.00453368234406911,"NCAM2",2,2
"ENSG00000154678",21.4245977945383,1.939938684755,0.344950452212169,5.62381835511207,1.86782054529861e-08,1.58826847800737e-07,"PDE1C",2,2
"ENSG00000154736",4.31601861191628,1.75221675298186,0.433572415541591,4.04134739705039,5.31449602422209e-05,0.000250562058725661,"ADAMTS5",2,2
"ENSG00000154856",40.0139815034451,1.47331405949403,0.1725260209896,8.53966289283885,1.34613972697746e-17,2.70354197499821e-16,"APCDD1",2,2
"ENSG00000154928",118.34556304437,-1.23013807544413,0.0748101593382527,-16.4434628441584,9.34247638628653e-61,1.04234447950085e-58,"EPHB1",1,1
"ENSG00000155052",2.93216263879294,2.61151081218978,0.540193237938889,4.83440115273198,1.33547042337427e-06,8.53222917685388e-06,"CNTNAP5",2,5
"ENSG00000155367",6.83274189000108,1.0113420410084,0.296247467057221,3.41384198506264,0.000640537137492057,0.00236156340068041,"PPM1J",2,2
"ENSG00000155511",91.7637135459175,2.98958559279697,0.146500538517898,20.4066525832718,1.45944220853842e-92,4.04362787912378e-90,"GRIA1",2,4
"ENSG00000155629",69.7207271791348,1.06954224564578,0.182759843384345,5.85217313519211,4.85191150809481e-09,4.47603645452653e-08,"PIK3AP1",2,4
"ENSG00000155761",24.1375373943435,-1.36027057767094,0.425031857545092,-3.20039675502825,0.00137238527833833,0.00462769429352869,"SPAG17",1,1
"ENSG00000155792",2.98508899917904,-1.67424348451199,0.523102331372421,-3.20060413441365,0.00137139803920799,0.00462624208680879,"DEPTOR",1,3
"ENSG00000155846",9.24385148882715,1.00557173626429,0.255856255316874,3.93022142459992,8.48676700752342e-05,0.000382030909106605,"PPARGC1B",2,5
"ENSG00000155966",65.2198865748441,-2.1675607609453,0.193350701435787,-11.2105140806285,3.62084231129701e-29,1.39983447867445e-27,"AFF2",1,1
"ENSG00000156042",9.02536519590612,-1.0353204172845,0.31597321115912,-3.27660820829246,0.00105062045656886,0.00365616798618397,"CFAP70",1,1
"ENSG00000156298",79.4092592079831,-1.04735473620676,0.116735485552964,-8.97203392135261,2.91088735722545e-19,6.56588757483255e-18,"TSPAN7",1,1
"ENSG00000156299",87.9314658983596,1.39722635764985,0.174032488865217,8.02853746883984,9.86414874988971e-16,1.71708490909075e-14,"TIAM1",2,2
"ENSG00000156395",7.75365458141247,1.67809832316851,0.338357823452213,4.9595375276006,7.06611971294044e-07,4.72324785315327e-06,"SORCS3",2,2
"ENSG00000156427",3.57903525134851,1.36519073803786,0.404049537868289,3.37877069539648,0.000728107113879547,0.00264050014422635,"FGF18",2,2
"ENSG00000156466",5.92285322257016,1.010211597445,0.2942571013312,3.43309164969975,0.000596740346660675,0.00221235760992129,"GDF6",2,2
"ENSG00000156675",63.5547814381077,2.10444183426945,0.174489878336494,12.0605381488728,1.70664101141633e-33,8.12928371741692e-32,"RAB11FIP1",2,2
"ENSG00000156687",18.7585676737852,3.85878820006943,0.358657632111854,10.7589741708494,5.37653182822143e-27,1.8856427238893e-25,"UNC5D",2,4
"ENSG00000156925",42.7383277213762,1.88894946126658,0.22945048923922,8.23249262849555,1.8335743623555e-16,3.37556369875946e-15,"ZIC3",2,4
"ENSG00000157005",6.29170451817508,3.05105252137906,0.457283062173519,6.67213105789892,2.52115261171438e-11,2.96824653095892e-10,"SST",2,4
"ENSG00000157064",14.5089036145055,2.7896897284637,0.254432332752494,10.9643680041933,5.66952678595606e-28,2.08057865981752e-26,"NMNAT2",2,2
"ENSG00000157087",2.69715178291387,-1.33232861942773,0.448733208203431,-2.96908852536655,0.00298684535486682,0.00921553770959651,"ATP2B2",1,1
"ENSG00000157103",3.35976896242227,-1.27611768048428,0.416260452387027,-3.06567119976554,0.00217182002390301,0.0069717703388161,"SLC6A1",1,1
"ENSG00000157111",3.97584136110487,-4.29353046447772,0.648507395315732,-6.62063454555884,3.57660206183472e-11,4.14915789783255e-10,"TMEM171",1,1
"ENSG00000157227",17.0562039744032,-1.22961944300795,0.198492372851776,-6.19479441623767,5.83611544767858e-10,5.97779317327225e-09,"MMP14",1,1
"ENSG00000157303",3.98768937356672,-1.67568013323169,0.403602050139248,-4.15181273894312,3.29852118188588e-05,0.000161945115557209,"SUSD3",1,1
"ENSG00000157404",34.2018485413991,-1.23652837254466,0.127754088155421,-9.67897302073301,3.70418058938469e-22,1.01113790013023e-20,"KIT",1,1
"ENSG00000157423",25.7188123059953,-1.45572694951325,0.332711293781291,-4.37534576289491,1.21240144215128e-05,6.46614102480681e-05,"HYDIN",1,1
"ENSG00000157502",39.0706819791189,-1.2248433871802,0.150518474065997,-8.13749537909317,4.03538788624665e-16,7.27595316930199e-15,"PWWP3B",1,1
"ENSG00000157654",274.245901020795,1.04263352382117,0.0747452962027686,13.9491523452221,3.18366653953418e-44,2.22375094761413e-42,"PALM2AKAP2",2,2
"ENSG00000157680",16.6130129899813,-3.07152759290206,0.300609225459092,-10.21767574901,1.65255675432496e-24,5.10633893752753e-23,"DGKI",1,3
"ENSG00000157856",23.6832953997681,-1.55406405953611,0.21348721313248,-7.27942454601128,3.35247111784443e-13,4.76337434726887e-12,"DRC1",1,1
"ENSG00000157927",15.5032406008654,1.44621438048151,0.191115831559625,7.56721391775604,3.81313703855174e-14,5.89122584840931e-13,"RADIL",2,4
"ENSG00000158023",13.0850840252741,-1.62116889969135,0.30035240585463,-5.39755589797404,6.75548302817269e-08,5.2650328110803e-07,"CFAP251",1,1
"ENSG00000158050",11.8639099829129,1.35914100300275,0.305952628590911,4.44232497449813,8.89920160701307e-06,4.85209339176731e-05,"DUSP2",2,2
