"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","clusters"
"ENSG00000128656",93.6094716527076,0.673952687138358,0.136830864008381,4.92544348106343,8.4169237429385e-07,6.36773037652258e-06,"CHN1",NA
"ENSG00000128683",5.90340628319604,1.41445456588045,0.37420749373639,3.7798670244612,0.00015691213760554,0.000758725659310828,"GAD1",NA
"ENSG00000128692",4.15119150214385,-0.719340564093463,0.35733627889274,-2.0130633428054,0.0441079660084512,0.102139509058606,NA,NA
"ENSG00000128694",55.7767887973616,0.390793764662545,0.105249622548672,3.71301820566458,0.000204802148388788,0.000963289495786911,"OSGEPL1",NA
"ENSG00000128699",248.874900338829,-0.123389071899648,0.0560269819755489,-2.20231516224624,0.0276430539022971,0.069728520105544,"ORMDL1",NA
"ENSG00000128708",131.725550402566,-0.0518284333969972,0.10967350661335,-0.472570222266316,0.636519831296074,0.753886878070638,"HAT1",NA
"ENSG00000128731",10.8445465513001,0.0262301281336093,0.216685897230725,0.12105138575622,0.903650334463869,0.94079472620238,"HERC2",NA
"ENSG00000128739",442.076674067348,-0.297991241514208,0.0856692266532359,-3.47839303744844,0.000504429707904682,0.00215118486569239,"SNRPN",NA
"ENSG00000128789",119.03828850544,-0.0302662277269239,0.0664981583504253,-0.455143848757885,0.649005753918782,0.763573712813323,"PSMG2",NA
"ENSG00000128791",255.40922365784,0.129833671236597,0.0576297625203337,2.25289269916369,0.0242659153152902,0.0625698554345781,"TWSG1",NA
"ENSG00000128805",9.93274124078149,0.541550927569407,0.287229791506567,1.88542742982504,0.0593721536103664,0.129818350582836,"ARHGAP22",NA
"ENSG00000128829",246.472583331666,-0.131971018183653,0.0559898643815166,-2.35705193505022,0.0184206703979058,0.0497417849075025,"EIF2AK4",NA
"ENSG00000128833",57.5261304505424,0.0806373276781159,0.106401056195539,0.757862098003278,0.448533542474781,0.599045844410066,"MYO5C",NA
"ENSG00000128849",18.5046105578105,-0.410383523682391,0.167534292898576,-2.44954938229174,0.0143035094687634,0.0399577204225136,"CGNL1",NA
"ENSG00000128872",31.6142432672483,1.42953834803106,0.149268869178646,9.57693560550917,9.99669510008473e-22,3.08736641574875e-20,"TMOD2",1
"ENSG00000128881",80.3070813951526,0.079777476216116,0.0891782480416594,0.89458447511604,0.371009253915299,0.524170677633745,"TTBK2",NA
